freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,power_gpu,ms
3.0,1.0,3.5,1,1,1,1,1,267.461,37.632
3.0,1.5,3.5,1,1,1,1,1,396.242,36.243
3.0,2.0,3.5,1,1,1,1,1,526.578,35.682
3.0,2.5,3.5,1,1,1,1,1,627.444,35.389
3.0,3.0,3.5,1,1,1,1,1,750.296,35.009
