freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,power_cpu,ms
1.0,2.0,3.5,1,1,1,1,1,152.251,71.594
1.5,2.0,3.5,1,1,1,1,1,844.385,53.821
2.0,2.0,3.5,1,1,1,1,1,1147.061,44.206
2.5,2.0,3.5,1,1,1,1,1,1439.089,39.135
3.0,2.0,3.5,1,1,1,1,1,1740.643,35.682
3.5,2.0,3.5,1,1,1,1,1,2045.626,33.676
4.0,2.0,3.5,1,1,1,1,1,2327.798,32.247
