freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
3.0,2.0,3.5,7,11,7,7,7,38.366
3.0,2.0,3.5,7,7,11,7,7,38.361
3.0,2.0,3.5,7,3,11,3,11,38.34
3.0,2.0,3.5,3,11,7,11,7,38.333
3.0,2.0,3.5,3,7,11,7,11,38.329
3.0,2.0,3.5,7,11,3,11,3,38.325
3.0,2.0,3.5,3,7,11,11,7,38.324
3.0,2.0,3.5,11,7,3,7,3,38.321
3.0,2.0,3.5,7,11,11,3,3,38.314
3.0,2.0,3.5,3,7,7,11,11,38.307
3.0,2.0,3.5,11,3,3,11,7,38.305
3.0,2.0,3.5,11,3,3,7,11,38.302
3.0,2.0,3.5,11,3,7,3,7,38.302
3.0,2.0,3.5,3,11,7,7,11,38.301
3.0,2.0,3.5,11,3,7,7,3,38.294
3.0,2.0,3.5,11,7,3,3,7,38.293
3.0,2.0,3.5,3,11,11,7,7,38.273
3.0,2.0,3.5,7,3,11,11,3,38.247
3.0,2.0,3.5,7,11,3,3,11,38.245
3.0,2.0,3.5,7,7,7,11,3,38.225
3.0,2.0,3.5,7,7,7,3,11,38.209
3.0,2.0,3.5,7,7,11,7,3,38.19
3.0,2.0,3.5,7,7,11,3,7,38.184
3.0,2.0,3.5,7,11,7,3,7,38.183
3.0,2.0,3.5,7,11,7,7,3,38.178
3.0,2.0,3.5,11,3,3,3,11,38.138
3.0,2.0,3.5,11,3,3,11,3,38.137
3.0,2.0,3.5,11,3,3,7,7,38.123
3.0,2.0,3.5,11,3,7,3,3,38.12
3.0,2.0,3.5,11,7,3,3,3,38.119
3.0,2.0,3.5,7,3,7,7,11,38.104
3.0,2.0,3.5,7,7,3,11,7,38.103
3.0,2.0,3.5,3,11,3,11,7,38.09
3.0,2.0,3.5,7,11,3,7,7,38.089
3.0,2.0,3.5,3,3,11,7,11,38.087
3.0,2.0,3.5,7,3,11,7,7,38.084
3.0,2.0,3.5,7,3,7,11,7,38.068
3.0,2.0,3.5,3,7,11,3,11,38.065
3.0,2.0,3.5,7,3,3,11,11,38.06
3.0,2.0,3.5,7,7,3,7,11,38.055
3.0,2.0,3.5,3,11,7,11,3,38.055
3.0,2.0,3.5,3,3,11,11,7,38.026
3.0,2.0,3.5,3,11,11,3,7,38.022
3.0,2.0,3.5,3,11,3,7,11,38.018
3.0,2.0,3.5,3,11,11,7,3,38.011
3.0,2.0,3.5,3,7,11,11,3,38.007
3.0,2.0,3.5,3,3,7,11,11,38.006
3.0,2.0,3.5,3,7,3,11,11,38.004
3.0,2.0,3.5,7,7,7,7,7,37.997
3.0,2.0,3.5,3,11,7,3,11,37.994
3.0,2.0,3.5,7,11,7,3,3,37.993
3.0,2.0,3.5,7,7,11,3,3,37.993
3.0,2.0,3.5,3,7,7,11,7,37.975
3.0,2.0,3.5,11,3,3,3,7,37.961
3.0,2.0,3.5,11,3,3,7,3,37.954
3.0,2.0,3.5,3,7,11,7,7,37.95
3.0,2.0,3.5,3,7,7,7,11,37.948
3.0,2.0,3.5,3,11,7,7,7,37.934
3.0,2.0,3.5,7,3,11,3,7,37.932
3.0,2.0,3.5,7,11,3,7,3,37.931
3.0,2.0,3.5,7,7,3,11,3,37.929
3.0,2.0,3.5,7,3,7,3,11,37.925
3.0,2.0,3.5,7,11,3,3,7,37.908
3.0,2.0,3.5,7,3,11,7,3,37.906
3.0,2.0,3.5,7,3,7,11,3,37.878
3.0,2.0,3.5,7,7,3,3,11,37.87
3.0,2.0,3.5,7,7,7,7,3,37.826
3.0,2.0,3.5,7,7,7,3,7,37.808
3.0,2.0,3.5,3,3,11,3,11,37.773
3.0,2.0,3.5,3,11,3,11,3,37.759
3.0,2.0,3.5,11,3,3,3,3,37.757
3.0,2.0,3.5,7,3,3,7,11,37.743
3.0,2.0,3.5,7,3,11,3,3,37.743
3.0,2.0,3.5,7,3,3,11,7,37.739
3.0,2.0,3.5,7,11,3,3,3,37.729
3.0,2.0,3.5,7,3,7,7,7,37.715
3.0,2.0,3.5,3,11,11,3,3,37.698
3.0,2.0,3.5,3,3,11,11,3,37.692
3.0,2.0,3.5,3,11,3,7,7,37.688
3.0,2.0,3.5,3,3,7,7,11,37.688
3.0,2.0,3.5,3,3,11,7,7,37.685
3.0,2.0,3.5,3,7,11,3,7,37.678
3.0,2.0,3.5,3,11,7,7,3,37.677
3.0,2.0,3.5,7,7,3,7,7,37.669
3.0,2.0,3.5,3,7,3,11,7,37.664
3.0,2.0,3.5,3,11,3,3,11,37.663
3.0,2.0,3.5,3,7,11,7,3,37.655
3.0,2.0,3.5,3,3,3,11,11,37.65
3.0,2.0,3.5,3,3,7,11,7,37.646
3.0,2.0,3.5,3,11,7,3,7,37.645
3.0,2.0,3.5,3,7,7,3,11,37.641
3.0,2.0,3.5,3,7,3,7,11,37.638
3.0,2.0,3.5,7,7,7,3,3,37.618
3.0,2.0,3.5,3,7,7,11,3,37.613
3.0,2.0,3.5,7,3,3,11,3,37.581
3.0,2.0,3.5,7,3,3,3,11,37.58
3.0,2.0,3.5,3,7,7,7,7,37.579
3.0,2.0,3.5,7,7,3,7,3,37.549
3.0,2.0,3.5,7,3,7,3,7,37.534
3.0,2.0,3.5,7,3,7,7,3,37.518
3.0,2.0,3.5,7,7,3,3,7,37.514
3.0,2.0,3.5,3,3,11,3,7,37.38
3.0,2.0,3.5,3,3,7,3,11,37.349
3.0,2.0,3.5,3,3,11,7,3,37.347
3.0,2.0,3.5,3,11,3,7,3,37.346
3.0,2.0,3.5,3,7,3,11,3,37.342
3.0,2.0,3.5,7,3,3,7,7,37.341
3.0,2.0,3.5,7,7,3,3,3,37.324
3.0,2.0,3.5,3,3,3,7,11,37.323
3.0,2.0,3.5,3,7,11,3,3,37.312
3.0,2.0,3.5,7,3,7,3,3,37.311
3.0,2.0,3.5,3,3,3,11,7,37.31
3.0,2.0,3.5,3,11,7,3,3,37.301
3.0,2.0,3.5,3,11,3,3,7,37.296
3.0,2.0,3.5,3,3,7,11,3,37.294
3.0,2.0,3.5,3,7,3,3,11,37.283
3.0,2.0,3.5,3,7,3,7,7,37.261
3.0,2.0,3.5,3,3,7,7,7,37.261
3.0,2.0,3.5,3,7,7,7,3,37.23
3.0,2.0,3.5,3,7,7,3,7,37.226
3.0,2.0,3.5,7,3,3,3,7,37.181
3.0,2.0,3.5,7,3,3,7,3,37.162
3.0,2.0,3.5,3,3,11,3,3,37.025
3.0,2.0,3.5,3,3,3,11,3,36.995
3.0,2.0,3.5,7,3,3,3,3,36.992
3.0,2.0,3.5,3,3,3,3,11,36.992
3.0,2.0,3.5,3,11,3,3,3,36.979
3.0,2.0,3.5,3,7,3,7,3,36.946
3.0,2.0,3.5,3,3,7,3,7,36.945
3.0,2.0,3.5,3,3,3,7,7,36.938
3.0,2.0,3.5,3,3,7,7,3,36.93
3.0,2.0,3.5,3,7,3,3,7,36.93
3.0,2.0,3.5,3,7,7,3,3,36.872
3.0,2.0,3.5,3,3,3,7,3,36.615
3.0,2.0,3.5,3,3,3,3,7,36.609
3.0,2.0,3.5,3,3,7,3,3,36.575
3.0,2.0,3.5,3,7,3,3,3,36.544
3.0,2.0,3.5,3,3,3,3,3,36.229
