freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,power_cpu,ms
1.0,2.0,3.5,1,1,1,1,1,22.812,96.99
1.5,2.0,3.5,1,1,1,1,1,128.68,72.951
2.0,2.0,3.5,1,1,1,1,1,171.655,60.353
2.5,2.0,3.5,1,1,1,1,1,213.177,53.475
3.0,2.0,3.5,1,1,1,1,1,255.481,48.783
3.5,2.0,3.5,1,1,1,1,1,298.573,46.005
4.0,2.0,3.5,1,1,1,1,1,338.166,44.028
