latency_0,latency_1,latency_2,latency_3,latency_4,ms
6,6,11,1,1,93.96000000000001
6,6,1,1,11,93.959
6,1,1,6,11,93.91
1,6,6,6,11,93.901
6,11,6,1,1,93.879
6,1,11,1,6,93.876
6,1,1,11,1,93.874
6,1,11,6,1,93.834
1,6,6,11,1,93.781
1,6,1,11,6,93.749
6,11,1,6,1,93.738
6,11,1,1,6,93.706
1,1,6,11,6,93.686
1,6,11,6,6,93.641
1,1,6,6,11,93.64
6,1,1,1,11,93.634
6,1,11,1,1,93.587
1,11,6,6,6,93.527
1,6,6,1,11,93.506
6,11,1,1,1,93.496
1,6,1,6,11,93.45
1,6,1,11,1,93.44100000000002
1,1,6,11,1,93.347
1,1,1,11,6,93.34400000000001
1,1,11,6,6,93.32399999999998
1,11,6,6,1,93.298
1,6,11,6,1,93.291
1,11,1,6,6,93.25
1,6,11,1,6,93.249
1,1,6,1,11,93.22599999999998
1,1,1,6,11,93.181
1,6,1,1,11,93.13099999999999
1,11,6,1,6,93.116
1,1,11,6,1,92.96900000000001
1,6,11,1,1,92.945
1,11,1,6,1,92.912
1,11,6,1,1,92.89
1,1,11,1,6,92.86999999999999
1,11,1,1,6,92.85600000000001
15,15,15,15,15,128.086
15,1,15,15,15,126.45200000000001
15,15,1,15,15,126.331
1,15,15,15,15,125.15899999999999
15,1,1,15,15,124.264
15,15,15,15,1,119.54499999999999
15,15,15,1,15,119.24600000000001
15,15,1,15,1,117.764
15,1,15,1,15,117.745
15,1,15,15,1,117.67899999999999
15,15,1,1,15,117.33500000000001
1,1,15,15,15,116.201
1,15,1,15,15,116.06
1,15,15,15,1,115.83500000000001
15,1,1,15,1,115.64600000000002
15,1,1,1,15,115.42099999999999
1,15,15,1,15,115.37700000000001
15,15,15,1,1,110.659
15,1,15,1,1,109.07399999999998
15,15,1,1,1,108.96199999999999
15,1,1,1,1,106.872
1,1,1,15,15,106.83099999999999
1,15,1,15,1,106.82
1,1,15,15,1,106.486
1,1,15,1,15,106.44699999999999
1,15,1,1,15,106.03999999999998
1,15,15,1,1,105.754
1,1,1,15,1,97.66300000000001
1,1,1,1,15,97.21800000000002
1,1,15,1,1,96.93
1,15,1,1,1,96.825
11,11,11,11,11,109.624
11,1,11,11,11,108.558
11,11,1,11,11,108.48699999999998
1,11,11,11,11,107.369
11,1,1,11,11,107.127
11,11,11,11,1,105.09500000000001
11,11,11,1,11,104.97099999999999
11,11,1,11,1,104.01400000000001
11,1,11,11,1,103.97400000000002
11,1,11,1,11,103.968
11,11,1,1,11,103.709
1,1,11,11,11,102.823
1,11,1,11,11,102.72499999999998
11,1,1,11,1,102.607
11,1,1,1,11,102.54599999999999
1,11,11,11,1,102.54299999999999
1,11,11,1,11,102.17699999999999
11,11,11,1,1,100.36
11,1,11,1,1,99.42399999999999
11,11,1,1,1,99.285
11,1,1,1,1,98.018
1,1,1,11,11,97.967
1,11,1,11,1,97.79899999999998
1,1,11,11,1,97.71300000000001
1,1,11,1,11,97.703
1,11,1,1,11,97.33800000000001
1,11,11,1,1,97.167
1,1,1,11,1,93.065
1,1,1,1,11,92.833
1,1,11,1,1,92.619
1,11,1,1,1,92.55700000000002
15,11,15,15,15,127.48199999999999
15,15,11,15,15,127.42
11,15,15,15,15,127.40899999999999
15,11,11,15,15,126.62400000000001
15,1,11,15,15,125.55
15,11,1,15,15,125.50799999999998
15,15,15,15,11,124.113
15,15,15,11,15,124.067
15,11,15,15,11,123.48200000000001
15,11,15,11,15,123.464
15,15,11,15,11,123.42999999999999
15,15,11,11,15,123.386
11,11,15,15,15,123.11
11,15,11,15,15,123.01100000000001
11,15,15,15,11,122.846
11,15,15,11,15,122.71600000000001
15,11,11,15,11,122.7
15,11,11,11,15,122.628
15,1,15,11,15,122.45
15,1,15,15,11,122.401
15,15,1,15,11,122.38199999999999
15,15,1,11,15,122.2
11,1,15,15,15,122.052
11,15,1,15,15,121.959
15,1,11,15,11,121.575
15,1,11,11,15,121.483
15,11,1,15,11,121.474
15,11,1,11,15,121.38300000000001
1,11,15,15,15,120.93900000000001
1,15,11,15,15,120.85
1,15,15,15,11,120.804
1,15,15,11,15,120.604
15,1,1,15,11,120.29299999999999
15,1,1,11,15,120.19200000000001
15,15,15,11,11,120.07300000000001
15,11,15,11,11,119.42999999999999
15,15,11,11,11,119.35600000000001
15,15,11,15,1,118.866
15,11,15,15,1,118.833
15,11,15,1,15,118.746
11,11,11,15,15,118.71900000000001
15,11,11,11,11,118.63799999999999
11,11,15,11,15,118.63600000000001
11,15,11,15,11,118.608
11,11,15,15,11,118.56299999999999
15,15,11,1,15,118.471
15,1,15,11,11,118.41300000000001
11,15,11,11,15,118.408
11,15,15,15,1,118.309
15,15,1,11,11,118.26299999999999
15,11,11,15,1,118.11999999999999
11,15,15,11,11,118.104
11,15,15,1,15,118.01599999999999
15,11,11,1,15,117.89
11,1,11,15,15,117.587
11,11,1,15,15,117.56099999999999
11,1,15,11,15,117.513
15,1,11,11,11,117.50000000000001
11,15,1,15,11,117.497
11,1,15,15,11,117.47300000000001
15,11,1,11,11,117.453
11,15,1,11,15,117.18299999999999
15,11,1,15,1,116.997
15,1,11,15,1,116.90100000000001
15,1,11,1,15,116.789
15,11,1,1,15,116.68299999999999
1,11,11,15,15,116.514
1,15,11,15,11,116.43599999999999
1,11,15,15,11,116.38900000000001
1,11,15,11,15,116.355
11,1,1,15,15,116.2
1,15,11,11,15,116.19099999999999
1,15,15,11,11,116.129
15,1,1,11,11,116.12800000000001
15,15,15,11,1,115.406
15,15,15,1,11,115.383
15,15,11,11,1,114.871
15,11,15,11,1,114.803
15,11,15,1,11,114.795
15,15,11,1,11,114.565
11,11,11,15,11,114.228
11,11,11,11,15,114.19200000000001
15,11,11,11,1,114.019
11,11,15,15,1,113.98899999999999
11,15,11,15,1,113.981
11,11,15,11,11,113.959
11,15,11,11,11,113.898
15,11,11,1,11,113.89099999999999
11,11,15,1,15,113.80999999999999
15,1,15,11,1,113.73400000000001
15,1,15,1,11,113.73400000000001
15,15,1,11,1,113.71
11,15,11,1,15,113.62700000000001
