freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
# base line
2.5,1.0,3.0,6,6,6,6,6,89.992

# mov cpu: 18%~21%
# high freq still benefit
2.0,1.0,3.0,6,6,6,6,6,96.90899999999999, ok
2.5,1.0,3.0,6,6,6,6,6,89.992
3.0,1.0,3.0,6,6,6,6,6,85.24, ok
3.5,1.0,3.0,6,6,6,6,6,82.036
4.0,1.0,3.0,6,6,6,6,6,79.44900000000001

# mov gpu: 16%~19%
# low freq limit seriously
2.5,0.8,3.0,6,6,6,6,6,99.694
2.5,1.0,3.0,6,6,6,6,6,89.992, ok
2.5,1.5,3.0,6,6,6,6,6,84.562
2.5,2.0,3.0,6,6,6,6,6,83.064, ok


# freq: 19%~24%
2.0,1.0,3.0,6,6,6,6,6,96.90899999999999
---
3.0,2.0,3.0,6,6,6,6,6,78.17699999999999


# freq and lat: cluster and separate
2.0,0.8,3.0,4,3,3,3,3,106.06, no
2.0,1.0,3.0,4,3,3,3,3,95.389
---
3.0,2.0,3.0,11,9,9,9,9,96.884


# ruby clock impact on latency min max perf gap
# 2.5G: 23%~30%
# 3.0G: 16%~20%: ok
2.5,1.0,2.5,4,3,3,3,3,89.89
2.5,1.0,2.5,11,9,9,9,9,116.077
2.5,1.0,3.0,4,3,3,3,3,88.60
2.5,1.0,3.0,11,9,9,9,9,105.02
2.5,1.0,3.5,4,3,3,3,3,87.687
2.5,1.0,3.5,11,9,9,9,9,97.539
2.5,1.0,4.0,4,3,3,3,3,87.02600000000001
2.5,1.0,4.0,11,9,9,9,9,92.17099999999999

