freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
2.5,1.0,3.0,6,6,6,6,6,89.982
2.5,1.0,3.0,6,6,6,6,1,89.77099999999999
2.5,1.0,3.0,6,6,6,1,6,89.757
2.5,1.0,3.0,6,1,6,6,6,89.629
2.5,1.0,3.0,6,6,1,6,6,89.57600000000001
2.5,1.0,3.0,6,6,6,1,1,89.41600000000001
2.5,1.0,3.0,6,1,6,1,6,89.38900000000001
2.5,1.0,3.0,6,6,1,6,1,89.362
2.5,1.0,3.0,6,1,6,6,1,89.26599999999999
2.5,1.0,3.0,6,6,1,1,6,89.245
2.5,1.0,3.0,1,6,6,6,6,89.18900000000001
2.5,1.0,3.0,6,1,6,1,1,89.066
2.5,1.0,3.0,6,1,1,6,6,89.062
2.5,1.0,3.0,6,6,1,1,1,89.037
2.5,1.0,3.0,1,6,6,6,1,88.89099999999999
2.5,1.0,3.0,1,6,6,1,6,88.87700000000001
2.5,1.0,3.0,1,1,6,6,6,88.83
2.5,1.0,3.0,6,1,1,1,6,88.80499999999999
2.5,1.0,3.0,6,1,1,6,1,88.798
2.5,1.0,3.0,1,6,1,6,6,88.787
2.5,1.0,3.0,1,6,1,6,1,88.541
2.5,1.0,3.0,1,6,6,1,1,88.53300000000002
2.5,1.0,3.0,1,1,6,1,6,88.511
2.5,1.0,3.0,1,1,6,6,1,88.50999999999999
2.5,1.0,3.0,6,1,1,1,1,88.506
2.5,1.0,3.0,1,6,1,1,6,88.46900000000001
2.5,1.0,3.0,1,1,1,6,6,88.45
2.5,1.0,3.0,1,6,1,1,1,88.22299999999998
2.5,1.0,3.0,1,1,1,1,6,88.202
2.5,1.0,3.0,1,1,6,1,1,88.183
2.5,1.0,3.0,1,1,1,6,1,88.172
2.5,1.0,3.0,1,1,1,1,1,87.77099999999999
2.5,1.0,3.0,11,11,11,11,11,109.624
2.5,1.0,3.0,11,1,11,11,11,108.558
2.5,1.0,3.0,11,11,1,11,11,108.48699999999998
2.5,1.0,3.0,1,11,11,11,11,107.369
2.5,1.0,3.0,11,1,1,11,11,107.127
2.5,1.0,3.0,11,11,11,11,1,105.09500000000001
2.5,1.0,3.0,11,11,11,1,11,104.97099999999999
2.5,1.0,3.0,11,11,1,11,1,104.01400000000001
2.5,1.0,3.0,11,1,11,11,1,103.97400000000002
2.5,1.0,3.0,11,1,11,1,11,103.968
2.5,1.0,3.0,11,11,1,1,11,103.709
2.5,1.0,3.0,1,1,11,11,11,102.823
2.5,1.0,3.0,1,11,1,11,11,102.72499999999998
2.5,1.0,3.0,11,1,1,11,1,102.607
2.5,1.0,3.0,11,1,1,1,11,102.54599999999999
2.5,1.0,3.0,1,11,11,11,1,102.54299999999999
2.5,1.0,3.0,1,11,11,1,11,102.17699999999999
2.5,1.0,3.0,11,11,11,1,1,100.36
2.5,1.0,3.0,11,1,11,1,1,99.42399999999999
2.5,1.0,3.0,11,11,1,1,1,99.285
2.5,1.0,3.0,11,1,1,1,1,98.018
2.5,1.0,3.0,1,1,1,11,11,97.967
2.5,1.0,3.0,1,11,1,11,1,97.79899999999998
2.5,1.0,3.0,1,1,11,11,1,97.71300000000001
2.5,1.0,3.0,1,1,11,1,11,97.703
2.5,1.0,3.0,1,11,1,1,11,97.33800000000001
2.5,1.0,3.0,1,11,11,1,1,97.167
2.5,1.0,3.0,1,1,1,11,1,93.065
2.5,1.0,3.0,1,1,1,1,11,92.833
2.5,1.0,3.0,1,1,11,1,1,92.619
2.5,1.0,3.0,1,11,1,1,1,92.55700000000002
2.5,1.0,3.0,11,6,11,11,11,108.91499999999999
2.5,1.0,3.0,11,11,6,11,11,108.79499999999999
2.5,1.0,3.0,6,11,11,11,11,108.58999999999999
2.5,1.0,3.0,11,6,6,11,11,107.844
2.5,1.0,3.0,11,1,6,11,11,107.524
2.5,1.0,3.0,11,6,1,11,11,107.486
2.5,1.0,3.0,11,11,11,11,6,105.396
2.5,1.0,3.0,11,11,11,6,11,105.318
2.5,1.0,3.0,11,11,6,11,6,104.644
2.5,1.0,3.0,11,6,11,6,11,104.643
2.5,1.0,3.0,11,6,11,11,6,104.613
2.5,1.0,3.0,11,11,6,6,11,104.492
2.5,1.0,3.0,11,1,11,11,6,104.325
2.5,1.0,3.0,11,6,11,1,11,104.30799999999999
2.5,1.0,3.0,11,11,6,11,1,104.30399999999999
2.5,1.0,3.0,11,1,11,6,11,104.28699999999999
2.5,1.0,3.0,11,11,1,11,6,104.277
2.5,1.0,3.0,11,6,11,11,1,104.26599999999999
2.5,1.0,3.0,6,6,11,11,11,104.224
2.5,1.0,3.0,11,11,1,6,11,104.112
2.5,1.0,3.0,11,11,6,1,11,104.088
2.5,1.0,3.0,6,11,6,11,11,104.074
2.5,1.0,3.0,6,11,11,11,6,103.83099999999999
2.5,1.0,3.0,6,1,11,11,11,103.76599999999999
2.5,1.0,3.0,6,11,1,11,11,103.722
2.5,1.0,3.0,11,6,6,11,6,103.696
2.5,1.0,3.0,6,11,11,6,11,103.672
2.5,1.0,3.0,6,11,11,11,1,103.59599999999999
2.5,1.0,3.0,11,6,6,6,11,103.59100000000001
2.5,1.0,3.0,6,11,11,1,11,103.396
2.5,1.0,3.0,11,6,6,11,1,103.354
2.5,1.0,3.0,11,6,1,11,6,103.35
2.5,1.0,3.0,11,1,6,11,6,103.29
2.5,1.0,3.0,11,6,1,6,11,103.27699999999999
2.5,1.0,3.0,11,1,6,6,11,103.26400000000001
2.5,1.0,3.0,11,6,6,1,11,103.255
2.5,1.0,3.0,1,6,11,11,11,103.17800000000001
2.5,1.0,3.0,11,6,1,11,1,103.06499999999998
2.5,1.0,3.0,1,11,6,11,11,103.034
2.5,1.0,3.0,11,1,6,11,1,103.032
2.5,1.0,3.0,11,1,1,11,6,102.979
2.5,1.0,3.0,11,1,6,1,11,102.945
2.5,1.0,3.0,11,6,1,1,11,102.867
2.5,1.0,3.0,11,1,1,6,11,102.866
2.5,1.0,3.0,1,11,11,11,6,102.791
2.5,1.0,3.0,1,11,11,6,11,102.613
2.5,1.0,3.0,11,11,11,6,6,101.116
2.5,1.0,3.0,11,11,11,6,1,100.812
2.5,1.0,3.0,11,11,11,1,6,100.78399999999999
2.5,1.0,3.0,11,6,11,6,6,100.41600000000001
2.5,1.0,3.0,11,11,6,6,6,100.33399999999999
2.5,1.0,3.0,11,1,11,6,6,100.148
